com,mun,region
Berat,"Berat, Kuçovë, Poliçan, Skrapar, Ura Vajgurore",Southern Region
Dibër,"Bulqizë, Dibër, Klos, Mat",Northern Region
Durrës,"Durrës, Krujë, Shijak",Northern Region
Elbasan,"Belsh, Cërrik, Elbasan, Gramsh, Librazhd, Peqin, Prrenjas",Central Region
Fier,"Divjakë, Fier, Lushnjë, Mallakastër, Patos, Roskovec",Southern Region
Gjirokastër,"Dropull, Gjirokastër, Këlcyrë, Libohovë, Memaliaj, Përmet, Tepelenë",Southern Region
Korçë,"Devoll, Kolonjë, Korçë, Maliq, Pogradec, Pustec",Southern Region
Kukës,"Has, Kukës, Tropojë",Northern Region
Lezhë,"Kurbin, Lezhë, Mirditë",Northern Region
Shkodër,"Fushë-Arrëz, Malësi e Madhe, Pukë, Shkodër, Vau i Dejës",Northern Region
Tirana,"Kamëz, Kavajë, Rrogozhinë, Tirana, Vorë",Central Region
Vlorë,"Delvinë, Finiq, Himarë, Konispol, Sarandë, Selenicë, Vlorë",Southern Region
